"term_gpa","TotalSleepTime","cum_gpa","Zterm_units_ZofZ","study","high_gpa"
3.21,5.638194445,3.43,-1.187240929,"5","1"
3.07,7.14382716,2.44,-1.187240929,"5","1"
1.97,7.757471265,2.7,-1.187240929,"5","0"
3.49,6.901149425,3.23,-1.187240929,"5","1"
4,5.76488095166667,4,-1.187240929,"5","1"
3.28,6.88965517166667,2.96,-1.361992122,"5","1"
3.54,6.89367816166667,3.49,-1.361992122,"5","1"
3.57,6.94540229833333,2.93,-1.361992122,"5","1"
3.51,5.86049382666667,3.5,-1.536743315,"5","1"
4,7.41521739166667,4,-1.536743315,"5","1"
3.29,6.25133333333333,3.47,-1.536743315,"5","1"
3.03,5.59761904833333,3.27,-1.711494508,"5","1"
4,6.53735632166667,4,-1.711494508,"5","1"
1.5,5.95057471333333,2,-1.711494508,"5","0"
3.08,5.80138888833333,2.6,-1.886245701,"5","1"
3.27,6.71607142833333,3.552758621,1.603330987,"3","1"
4,4.94916666666667,4,1.065991594,"1","1"
3.28,5.23115942,2.98,0.350165843,"1","1"
3.833333,9.794444445,3.321428036,1.680126039,"2","1"
3.476923,6.78141025666667,3.426666267,-0.497815123,"2","1"
3.1,6.854444445,3.265517103,0.373361342,"2","1"
3.5,6.75357142833333,3.17999955,-1.80457982,"2","1"
2.992307,6.60833333333333,2.566666,-0.497815123,"2","0"
3.478571,6.48333333333333,3.740740481,-0.06222689,"2","1"
3.192857,7.23333333333333,3.6999995,-0.06222689,"2","1"
3.95,7.09107142833333,3.799999864,-1.80457982,"2","1"
3.866666,6.58154761833333,3.6999995,-0.933403355,"2","1"
2.728571,7.825,3.126470529,-0.06222689,"2","0"
3.435714,6.87592592666667,3.599999619,-0.06222689,"2","1"
3.466666,6.80925926,3.499999667,0.373361342,"2","1"
3.527777,7.16728395,3.65,1.680126039,"2","1"
3.666666,6.64166666666667,3.796551103,0.373361342,"2","1"
3.753846,6.292261905,3.78399956,-0.497815123,"2","1"
3.646666,6.573214285,3.4875,0.373361342,"2","1"
2.26923,6.64861111166667,3.375,-0.497815123,"2","0"
3.966666,6.78869047666667,3.370967742,0.373361342,"2","1"
3.076923,8.315384615,3.249999679,-0.497815123,"2","1"
2.690909,6.507738095,3.351724138,-1.368991587,"2","0"
3.766666,6.13141025666667,3.279310103,0.373361342,"2","1"
3.446153,7.17380952333333,2.331817364,-0.497815123,"2","1"
3.533333,6.547530865,3.6599998,0.373361342,"2","1"
2.871428,5.58630952333333,3.35599984,-0.06222689,"2","0"
3,6.154761905,2.7,-0.933403355,"2","1"
3.517647,7.85535714333333,3.543749469,1.244537807,"2","1"
3.376923,6.749358975,2.310344414,-0.497815123,"2","1"
2.870588,6.24814814833333,2.249999462,1.244537807,"2","0"
3.92,7.24761904833333,3.775,-1.000208817,"3","1"
3.39,5.88869047666667,3.010952381,0.561915066,"3","1"
3.85,5.82619047666667,3.835909091,-1.000208817,"3","1"
3.53,7.42738095166667,3.16,0.041207105,"3","1"
2.9,5.600694445,3.156818182,-1.520916778,"3","0"
3.62,6.93630952333333,3.201111111,1.603330987,"3","1"
3.72,7.31488095166667,3.534444444,-0.479500856,"3","1"
2.57,6.226,2.605714286,0.041207105,"3","0"
3.33,7.01527777833333,3.482173913,0.561915066,"3","1"
3.85,6.417261905,3.802083333,1.603330987,"3","1"
1.55,6.75378787833333,2.9855,-2.041624739,"3","0"
3.25,6.71,3.800454545,-1.000208817,"3","1"
3.35,6.835185185,3.662727273,-1.000208817,"3","1"
2.97,5.59382716,2.850714286,0.561915066,"3","0"
2.8,8.53,3.24,-1.000208817,"3","0"
3.52,6.82916666666667,3.26,-1.000208817,"3","1"
3.37,6.91282051333333,3.426551724,0.041207105,"3","1"
2.54,5.78015873,2.37,0.11155726,"1","0"
3.81,7.45632183833333,4,-0.127051324,"1","1"
2.55,4.173188405,3.58,1.304600178,"1","0"
3.63,5.34920635,4,-0.127051324,"1","1"
3.5,5.48395061666667,3.627272545,-1.80457982,"2","1"
3.466666,6.46964285666667,3.629166333,0.373361342,"2","1"
3.483333,7.044444445,3.434482069,-0.933403355,"2","1"
3.4,6.76410256333333,3.5249996,-1.80457982,"2","1"
3.15,6.13405797166667,2.8999996,1.680126039,"2","1"
3.76923,6.70466666666667,3.3499995,-0.497815123,"2","1"
4,7.91543209833333,3.896774032,0.373361342,"2","1"
3.888888,6.99122807,3.925806129,1.680126039,"2","1"
3.65,6.90493827166667,3.58749975,-1.80457982,"2","1"
2.35,6.52254902,2.738461154,-1.80457982,"2","0"
3.95,5.85802469166667,3.681818,-1.80457982,"2","1"
3.73125,7.32857142833333,3.608695435,0.808949574,"2","1"
2.64,6.03809523833333,2.9484,0.041207105,"3","0"
3.67,6.89567901166667,3.048181818,1.082623027,"3","1"
2.97,6.860714285,3.455,1.082623027,"3","0"
3,7.43630952333333,3.13,0.041207105,"3","1"
3.53,7.029761905,3.0425,0.041207105,"3","1"
3.32,6.589285715,3.7,1.603330987,"3","1"
2.54,6.0125,2.206363636,1.082623027,"3","0"
4,7.3,3.563214286,0.041207105,"3","1"
3.63,7.307738095,3.818,0.041207105,"3","1"
3.45,6.395238095,2.961363636,-1.000208817,"3","1"
3.5,7.310714285,3.728181818,0.561915066,"3","1"
1.8,6.73988095166667,2.99625,-1.520916778,"3","0"
3.4,7.09642857166667,3.735,-1.000208817,"3","1"
2.5,5.955555555,3.149333333,1.082623027,"3","0"
3.1,8.45166666666667,3.7075,0.041207105,"3","1"
3.47,7.45933333333333,3.4136,0.041207105,"3","1"
3.15,6.43666666666667,3.456,-1.000208817,"3","1"
2.46,6.41,3.075,0.041207105,"3","0"
3.35,6.95297619,2.617058824,1.082623027,"3","1"
3.47,8.48809523833333,3.155769231,0.561915066,"3","1"
3.666833333,7.609444445,3.333166667,NA,"4","1"
3.5,7.16011904833333,3.166666667,NA,"4","1"
3.277833333,6.99833333333333,2.9334,NA,"4","1"
3.4668,4.56527777833333,2.8002,NA,"4","1"
3.2666,5.94722222166667,3.3334,NA,"4","1"
3.722333333,6.40333333333333,3.722166667,NA,"4","1"
3.809571429,5.458641975,3.6666,NA,"4","1"
3.333333333,4.59743589666667,3.055666667,NA,"4","1"
3.63,5.26034482833333,3.2,1.543208762,"1","1"
2.8,8.01011904833333,3.140833333,0.041207105,"3","0"
3.76,6.16728395,4,0.11155726,"1","1"
3.55,6.77933333333333,4,0.11155726,"1","1"
3.59,4.229411765,3,-0.604268491,"1","1"
3.46,6.86419753166667,3.8,-2.274528576,"1","1"
3.5,6.80185185166667,3.17,-2.274528576,"1","1"
3.61,7.16875,4,-0.365659907,"1","1"
3.44,5.962,4,1.304600178,"1","1"
4,6.702469135,3.79,-0.604268491,"1","1"
3.81,6.129310345,3.57,0.588774427,"1","1"
3.57,6.10679012333333,3.7,0.350165843,"1","1"
4,7.59358974333333,4,0.588774427,"1","1"
3.12,5.51491228,2.92,0.350165843,"1","1"
3.81,6.77884615333333,3.74,0.827383011,"1","1"
2.98,7.59047619,3.48,-0.127051324,"1","0"
4,4.984920635,4,0.588774427,"1","1"
4,5.71794871833333,3.07,-0.127051324,"1","1"
4,6.63333333333333,4,-0.842877075,"1","1"
3.56,4.71851851833333,3.81,-0.127051324,"1","1"
3.81,5.64464285666667,3.4,0.588774427,"1","1"
3.72,7.12133333333333,3.76,-1.320094242,"1","1"
4,6.63205128166667,3.6,0.588774427,"1","1"
3,6.89642857166667,3.79,0.588774427,"1","1"
3.28,6.23133333333333,3.29,-0.842877075,"1","1"
4,7.54222222166667,4,1.543208762,"1","1"
3.24,5.02183908,3.58,1.781817345,"1","1"
4,6.58045977,4,0.350165843,"1","1"
3.6,6.416,3.12,-0.842877075,"1","1"
3.59,7.07797619,3.81,0.11155726,"1","1"
3.6,5.691358025,3.49,-0.842877075,"1","1"
3.49,5.82719298166667,2.65,-0.127051324,"1","1"
2.49,6.675694445,3.25,-2.51313716,"1","0"
3.45,6.77916666666667,3.52,-2.035919993,"1","1"
3.8,5.60287356333333,3.78,0.11155726,"1","1"
1.5,3.66458333333333,2.78,-0.604268491,"1","0"
4,8.01964285666667,4,1.065991594,"1","1"
3.76,7.139473685,3.69,1.781817345,"1","1"
3.53,7.02254902,4,-0.365659907,"1","1"
2.6,5.85333333333333,3.55,1.065991594,"1","0"
3,6.17469135833333,3.57,-0.127051324,"1","1"
3.59,5.79761904833333,3.8,-0.604268491,"1","1"
2.84,6.80459770166667,2.49,0.11155726,"1","0"
2.8,6.92948718,3.17,-0.604268491,"1","0"
4,6.91153846166667,3.8,-0.365659907,"1","1"
3.5,7.45833333333333,3.7666665,-0.06222689,"2","1"
3.127777,7.612,3.5999996,1.680126039,"2","1"
3.9,8.64285714333333,3.533333,0.373361342,"2","1"
3.9,8.22619047666667,3.746153846,0.373361342,"2","1"
2.75,4.56964285666667,2.882758207,-0.06222689,"2","0"
3.1,8.23974359,3.15185137,0.373361342,"2","1"
2.933333,7.41488095166667,2.915384,0.373361342,"2","0"
3.8,6.36964285666667,3.451851556,0.373361342,"2","1"
1.7,7.78645833333333,2.916666,0.373361342,"2","0"
3.933333,7.311728395,3.33571375,0.373361342,"2","1"
4,7.65802469166667,4,-0.497815123,"2","1"
3.6,7.35059523833333,3.532257903,0.373361342,"2","1"
3.344444,5.48141025666667,3.651515121,1.680126039,"2","1"
