"term_gpa","TotalSleepTime","cum_gpa","Zterm_units_ZofZ","study","high_gpa"
3.19,7.15384615333333,3.713928571,-1.000208817,"3","1"
2.97,7.42115384666667,3.5353125,0.041207105,"3","0"
3.71,6.46666666666667,3.1625,2.124038948,"3","1"
3.333166667,7.13095238166667,3.111,NA,"4","1"
3.952428571,6.192528735,3.904857143,NA,"4","1"
3.611166667,6.699444445,3.277666667,NA,"4","1"
3.722166667,7.12222222166667,3.777833333,NA,"4","1"
3.3335,7.33690476166667,3.333428571,NA,"4","1"
3.777833333,5.1,3.666833333,NA,"4","1"
3.5555,5.84916666666667,3.6666,NA,"4","1"
3.714428571,6.875,3.761857143,NA,"4","1"
3.833333333,6.92266666666667,3.833333333,NA,"4","1"
3.9445,4.65287356333333,3.777666667,NA,"4","1"
3.7334,6.36388888833333,3.5555,NA,"4","1"
3.9445,7.08505747166667,3.9445,NA,"4","1"
3.9445,7.67816092,3.611166667,NA,"4","1"
4,5.95722222166667,3.9445,NA,"4","1"
3.91675,7.13,3.666714286,NA,"4","1"
3.888833333,6.39871794833333,3.777833333,NA,"4","1"
3.9445,6.55777777833333,3.888833333,NA,"4","1"
2.833333333,6.755,3.3334,NA,"4","0"
3.904714286,7.48390804666667,3.9445,NA,"4","1"
3.4445,6.202,3.1336,NA,"4","1"
3.889,6.66149425333333,4,NA,"4","1"
3.888833333,6.299444445,3.9445,NA,"4","1"
3.889,7.10057471333333,3.9445,NA,"4","1"
3.476142857,5.06666666666667,3.904857143,NA,"4","1"
3.777833333,6.37277777833333,3.4445,NA,"4","1"
3.666666667,6.629444445,3.5,NA,"4","1"
3.4668,6.23508772,3.0666,NA,"4","1"
3.666666667,5.544444445,3.833333333,NA,"4","1"
3.722333333,6.89367816166667,3.888833333,NA,"4","1"
3.809571429,6.16551724166667,3.619142857,NA,"4","1"
3.500166667,6.55689655166667,3.111166667,NA,"4","1"
3.7334,5.40158730166667,3.389,NA,"4","1"
3.611,4.71041666666667,3.222,NA,"4","1"
3.888833333,6.860714285,3.9445,NA,"4","1"
3.0555,5.88611111166667,3.4002,NA,"4","1"
3.5334,6.993137255,3.428428571,NA,"4","1"
3.4445,6.88218390833333,3.555666667,NA,"4","1"
3.555666667,6.25,3.5,NA,"4","1"
3.952428571,6.84629629666667,4,NA,"4","1"
3.833333333,6.73965517166667,4,NA,"4","1"
3.166666667,6.18653846166667,3.722333333,NA,"4","1"
3.5,6.598850575,3.388833333,NA,"4","1"
3.666714286,6.149358975,3.4445,NA,"4","1"
3.777833333,6.89425287333333,3.571428571,NA,"4","1"
3.611333333,7.31466666666667,3.555666667,NA,"4","1"
3.666666667,6.489444445,3.714428571,NA,"4","1"
3.8668,8.055555555,3.714285714,NA,"4","1"
3.722333333,6.78611111166667,3.4445,NA,"4","1"
3.833333333,6.39469697,3.833333333,NA,"4","1"
2.9445,5.69195402333333,3.5555,NA,"4","0"
3.666666667,6.32111111166667,3.888833333,NA,"4","1"
3.611166667,5.55123456833333,3.778,NA,"4","1"
3.714428571,7.04166666666667,3.761857143,NA,"4","1"
3.666714286,5.99166666666667,3.555666667,NA,"4","1"
3.889,5.87716049333333,3.889,NA,"4","1"
3.8335,5.30238095166667,3.9445,NA,"4","1"
3.778,6.07126436833333,3.333333333,NA,"4","1"
3.809571429,6.4,3.809714286,NA,"4","1"
3.952428571,6.28397435833333,3.666714286,NA,"4","1"
4,6.64012345666667,4,NA,"4","1"
3.875,6.26228070166667,3.666571429,NA,"4","1"
3.666666667,6.50873015833333,3.889,NA,"4","1"
3.833333333,6.79464285666667,3.761857143,NA,"4","1"
3.611166667,7.28888888833333,3.619142857,NA,"4","1"
3.619142857,7.705555555,3.571571429,NA,"4","1"
3.889,7.745555555,3.777833333,NA,"4","1"
3.777833333,5.80804597666667,3.722166667,NA,"4","1"
3.611,6.5125,3.1665,NA,"4","1"
3.5,5.85574712666667,3.611333333,NA,"4","1"
4,6.91794871833333,3.833333333,NA,"4","1"
3.762,5.68015873,3.714428571,NA,"4","1"
3.777666667,5.279761905,3.666666667,NA,"4","1"
3.611333333,7.16722222166667,3.7334,NA,"4","1"
4,7.44540229833333,3.857142857,NA,"4","1"
3.611166667,6.69761904833333,3.277833333,NA,"4","1"
3.7334,7.42388888833333,3.722166667,NA,"4","1"
3.555666667,8.02261904833333,3.389,NA,"4","1"
3.8335,7.28666666666667,3.777833333,NA,"4","1"
3.722166667,7.75,3.777833333,NA,"4","1"
3.91675,7.359770115,3.9445,NA,"4","1"
3.904857143,6.80632183833333,3.952428571,NA,"4","1"
3.333285714,5.508641975,3.291625,NA,"4","1"
3.857142857,5.61547619,3.611333333,NA,"4","1"
3.5555,6.73850574666667,3.277833333,NA,"4","1"
3.444333333,5.79833333333333,3.5,NA,"4","1"
3.238142857,5.19345238166667,3.523857143,NA,"4","1"
3.833333333,6.80287356333333,3.9445,NA,"4","1"
4,6.635,3.888833333,NA,"4","1"
3.4445,5.98245614,3.666666667,NA,"4","1"
3.625,6.75347222166667,3.5334,NA,"4","1"
3.888833333,7.76166666666667,3.889,NA,"4","1"
3.666666667,6.22604166666667,3.666666667,NA,"4","1"
3.000166667,5.279444445,3.222166667,NA,"4","1"
3.555666667,4.98456790166667,3.4445,NA,"4","1"
3.555666667,6.282098765,3.666666667,NA,"4","1"
3.666666667,8.090555555,3.888833333,NA,"4","1"
3.9445,7.79466666666667,3.778,NA,"4","1"
3.904857143,6.91722222166667,3.952428571,NA,"4","1"
3.500166667,5.57549019666667,3.571428571,NA,"4","1"
3.1665,5.01349206333333,3.111166667,NA,"4","1"
3.2,7.91333333333333,3.3335,NA,"4","1"
3.888833333,7.12277777833333,3.9445,NA,"4","1"
3.857285714,6.51551724166667,3.5,NA,"4","1"
3.555666667,5.10535714333333,3.722333333,NA,"4","1"
3.904714286,5.66851851833333,3.833375,NA,"4","1"
3.889,5.964285715,3.777833333,NA,"4","1"
3.666833333,6.11166666666667,3.833333333,NA,"4","1"
3.166666667,4.54310344833333,3.5334,NA,"4","1"
3.9445,7.06222222166667,3.8335,NA,"4","1"
3.555666667,7.545,3.833333333,NA,"4","1"
3.5555,7.57777777833333,3.555666667,NA,"4","1"
3.9445,6.37803030333333,3.761857143,NA,"4","1"
4,6.251149425,3.857142857,NA,"4","1"
3.222333333,5.82179487166667,3.611166667,NA,"4","1"
3.8002,6.134,3.777833333,NA,"4","1"
3.889,7.56111111166667,3.9445,NA,"4","1"
3.9445,7.015555555,3.722333333,NA,"4","1"
3.9445,5.537931035,3.9445,NA,"4","1"
2.722166667,5.42407407333333,3.277666667,NA,"4","0"
3.952428571,6.99,3.762,NA,"4","1"
3.9445,4.34285714333333,3.857285714,NA,"4","1"
4,7.00459770166667,3.777833333,NA,"4","1"
4,7.395,4,NA,"4","1"
4,6.64649122833333,4,NA,"4","1"
3.1334,5.70634920666667,3.500166667,NA,"4","1"
3.714428571,6.51794871833333,3.380857143,NA,"4","1"
3.666666667,6.98777777833333,3.888833333,NA,"4","1"
3.555666667,5.57738095166667,3.4445,NA,"4","1"
3.666666667,5.99655172333333,3.8002,NA,"4","1"
3.9445,6.05333333333333,3.8335,NA,"4","1"
3.166833333,5.85833333333333,3.111166667,NA,"4","1"
3.666833333,7.810714285,3.666666667,NA,"4","1"
3.611166667,6.12988505666667,3.889,NA,"4","1"
3.4445,5.30208333333333,3.611166667,NA,"4","1"
3.388833333,6.01266666666667,3.389,NA,"4","1"
3.722166667,7.12586206833333,3.8335,NA,"4","1"
3.222166667,5.405555555,3.3335,NA,"4","1"
3.611333333,6.39080459833333,3.722166667,NA,"4","1"
3.65,7.96491228,3.868181773,-1.80457982,"2","1"
3.6,6.78589743666667,3.727272273,0.373361342,"2","1"
3.538461,6.61875,3.33749975,-0.497815123,"2","1"
3.222166667,5.46111111166667,3.277833333,NA,"4","1"
